SuperCategory,FeatureCategory,Usage,MOB,FeatureBitPos,FeatureName
Performance,Performance - Optimizer,PE,1,101,Partial Redistribution Partial Duplication
Performance,Performance - Optimizer,PE,1,127,Push TOP N into UNION ALL Derived Tables
Performance,Performance - Optimizer,PE,1,82,Single Sender Row Re-Distribution
Performance,Performance - Optimizer,PE,1,109,Union All Pushdown
Performance,Performance - Partitioning,Pe,1,29,2 Byte Partitioning
Performance,Performance - Partitioning,PE,1,28,8 Byte Partitioning
Performance,Performance - Partitioning,DDL,1,27,Multi Level Partitioning
Performance,Performance - Partitioning,PE,1,26,Row Partitioning
Performance,Performance - Request,PE,1,134,Dynamic Parameterization of Literals Feature
Performance,Performance - Request,SQL,1,35,Parameterized Query
Performance,Performance - SQL,PE,1,103,Multiple Count Distinct
Usage Analysis,Performance Management,DDL,1,16,Collect Statistics
Usage Analysis,Performance Management,,1,78,Index Analysis
Usage Analysis,Performance Management,,1,79,Partition Analysis
Usage Analysis,Usage Analysis,LOG,1,63,DBQL EXPLAIN Logging
Usage Analysis,Usage Analysis,LOG,1,67,DBQL OBJECT USECOUNT Logging
Usage Analysis,Usage Analysis,LOG,1,62,DBQL OBJECTS Logging
Usage Analysis,Usage Analysis,LOG,1,66,DBQL PARAMINFO Logging
Usage Analysis,Usage Analysis,LOG,1,60,DBQL SQL Logging
Usage Analysis,Usage Analysis,LOG,1,65,DBQL STATSUSAGE Logging
Usage Analysis,Usage Analysis,LOG,1,61,DBQL STEP Logging
Usage Analysis,Usage Analysis,LOG,1,69,DBQL THRESHOLD Enabled
Usage Analysis,Usage Analysis,LOG,1,68,DBQL UTILITYINFO Logging
Usage Analysis,Usage Analysis,LOG,1,64,DBQL XMLPLAN Logging
Usage Analysis,Usage Analysis,LOG,1,77,Queryband
